2026-06-27 12:30:23 [main] INFO  com.vcsm.service.IvrFlowBuilderTest - Starting IvrFlowBuilderTest using Java 17.0.17 with PID 69284 (started by Krish Kumar in C:\Users\Krish Kumar\.gemini\antigravity\scratch\voice-driven-virtual-customer-success-manager)
2026-06-27 12:30:23 [main] DEBUG com.vcsm.service.IvrFlowBuilderTest - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-06-27 12:30:23 [main] INFO  com.vcsm.service.IvrFlowBuilderTest - The following 1 profile is active: "test"
2026-06-27 12:30:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-27 12:30:31 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:vcsmdb user=SA
2026-06-27 12:30:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-27 12:30:31 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Indexing events with TwoPass using cutoff of 5
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Computing event counts...
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - done. 31 events
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Indexing...
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=general, bow=query]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=suggestion, bow=for, bow=improvement]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=feedback, bow=about, bow=service]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=water, bow=leak, bow=from, bow=ceiling]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=door, bow=lock, bow=broken]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=water, bow=supply, bow=disruption]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=electricity, bow=fluctuation]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=gas, bow=leakage]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event SECURITY:[bow=unauthorized, bow=entry]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=loud, bow=music, bow=disturbing, bow=sleep]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=construction, bow=noise, bow=early, bow=morning]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=party, bow=noise, bow=after, bow=midnight]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=dogs, bow=barking, bow=continuously]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=noise, bow=from, bow=renovation, bow=works]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event CLEANLINESS:[bow=common, bow=area, bow=unclean]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event CLEANLINESS:[bow=pest, bow=infestation]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=visitor, bow=taking, bow=resident, bow=parking]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=blocked, bow=driveway]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=parking, bow=space, bow=insufficient]
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - done.
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Sorting and merging events... 
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.AbstractDataIndexer - done. Reduced 12 events to 7.
2026-06-27 12:30:42 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Done indexing in 0.06 s.
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Incorporating indexed data for training...
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - done.
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 	Number of Event Tokens: 7 
	 Number of Outcomes: 7 
	 Number of Predicates: 2
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - ...done.
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Computing model parameters ...
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Performing 100 iterations.
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 1 - loglikelihood=-23.350921788663754	0.0
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 2 - loglikelihood=-18.898354087463396	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 3 - loglikelihood=-17.481508838000643	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 4 - loglikelihood=-16.71056253842751	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 5 - loglikelihood=-16.22382664350887	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 6 - loglikelihood=-15.888070426974986	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 7 - loglikelihood=-15.642295941316872	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 8 - loglikelihood=-15.454530935240282	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 9 - loglikelihood=-15.306371355073711	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 10 - loglikelihood=-15.186464419542249	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 11 - loglikelihood=-15.087422925640013	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 12 - loglikelihood=-15.004231116276532	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 13 - loglikelihood=-14.933362965899288	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 14 - loglikelihood=-14.872266918185348	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 15 - loglikelihood=-14.819050786016726	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 16 - loglikelihood=-14.772281562194063	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 17 - loglikelihood=-14.730854027181016	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 18 - loglikelihood=-14.693902052226317	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 19 - loglikelihood=-14.660737236718278	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 20 - loglikelihood=-14.63080552846828	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 21 - loglikelihood=-14.603655962708338	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 22 - loglikelihood=-14.578917744496614	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 23 - loglikelihood=-14.556283186468995	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 24 - loglikelihood=-14.535494827404591	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 25 - loglikelihood=-14.516335583027077	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 26 - loglikelihood=-14.49862112754967	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 27 - loglikelihood=-14.482193937831607	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 28 - loglikelihood=-14.466918591605495	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 29 - loglikelihood=-14.452678022094195	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 30 - loglikelihood=-14.439370509456912	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 31 - loglikelihood=-14.426907245289975	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 32 - loglikelihood=-14.41521034673627	0.4166666666666667
